timestamp,ear_norm,mouth_norm,jaw_norm,stress_flag,flat_affect_flag,arousal_flag
1768819477.72,0.872,9.574,1.41,0.122,0.5,0.055
1768819477.94,0.931,9.503,1.461,0.078,0.5,0.054
1768819478.22,0.8,1.076,1.398,0.757,0.5,0.053
1768819478.52,0.851,0.357,1.449,0.776,0.5,0.055
1768819478.72,0.848,0.292,1.487,0.248,0.5,0.057
1768819478.92,0.954,2.045,1.545,0.0,0.5,0.059
1768819479.12,0.925,0.276,1.585,0.0,0.5,0.062
1768819479.42,0.932,0.273,1.655,0.229,0.5,0.068
1768819479.62,0.853,0.583,1.643,0.16,0.5,0.071
1768819479.92,0.92,0.406,1.657,1.0,0.5,0.075
1768819480.12,0.842,0.452,1.66,0.0,0.5,0.075
1768819480.42,1.655,2.842,1.923,0.373,0.5,0.073
1768819480.62,0.879,0.115,1.769,0.747,0.5,0.073
1768819480.92,0.905,0.265,1.725,0.6,0.5,0.071
1768819481.12,0.916,8.697,1.812,0.614,0.5,0.071
1768819481.42,0.81,5.649,1.858,0.0,0.5,0.072
1768819481.62,0.932,7.776,1.774,1.0,0.5,0.071
1768819481.92,0.903,18.187,1.949,0.0,0.5,0.072
1768819482.12,0.663,0.098,2.039,0.0,0.5,0.069
1768819482.42,1.117,2.499,1.992,0.645,0.5,0.069
1768819482.72,0.76,1.499,1.642,0.851,0.5,0.071
1768819482.92,0.803,5.808,1.674,0.603,0.5,0.074
1768819483.22,0.839,5.063,1.667,0.974,0.5,0.081
1768819483.42,1.497,0.463,1.866,0.0,0.5,0.079
1768819483.65,1.176,10.402,1.614,0.0,0.5,0.073
1768819483.92,0.932,2.283,1.192,0.0,0.5,0.062
1768819484.32,1.168,1.062,1.117,0.661,0.5,0.059
1768819484.62,2.19,0.974,1.841,0.0,0.5,0.053
1768819484.92,1.691,0.458,1.842,0.064,0.5,0.053
1768819485.22,1.584,0.894,1.832,0.494,0.5,0.056
1768819485.52,1.881,0.751,1.754,0.419,0.5,0.057
1768819485.72,1.781,0.59,1.945,0.0,0.5,0.056
1768819486.02,1.671,1.34,1.981,0.0,0.5,0.056
1768819486.22,1.816,1.046,1.874,0.0,0.5,0.055
1768819486.52,1.653,1.489,2.044,1.0,0.5,0.053
1768819490.52,1.023,4.063,1.989,0.357,0.5,0.055
1768819490.82,0.808,2.28,1.614,0.943,0.5,0.061
1768819491.02,0.899,5.995,1.692,0.719,0.5,0.065
1768819491.22,0.901,2.195,1.677,0.532,0.5,0.071
1768819491.44,0.864,0.689,1.673,0.421,0.5,0.073
1768819491.72,0.945,0.965,1.655,0.0,0.5,0.075
1768819491.92,0.9,2.679,1.658,0.582,0.5,0.075
1768819492.12,0.95,4.584,1.647,1.0,0.5,0.076
1768819492.32,1.07,0.608,1.61,0.0,0.5,0.075
1768819492.62,0.978,3.162,1.759,0.0,0.5,0.07
1768819492.82,1.418,3.376,1.62,0.0,0.5,0.064
1768819493.72,1.669,4.154,1.423,1.0,0.5,0.063
1768819494.02,1.119,2.574,1.422,0.157,0.5,0.058
1768819494.22,0.887,6.049,1.582,0.404,0.5,0.055
1768819496.42,1.325,23.398,1.99,0.976,0.5,0.054
1768819496.72,0.651,13.532,1.62,0.839,0.5,0.057
1768819497.02,0.745,13.538,1.8,0.712,0.5,0.06
