1770257918.09,1.005,0.495,1.241,0.0,0.5,0.052
1770257918.29,0.903,0.299,1.2,0.225,0.5,0.051
1770257918.49,1.006,0.486,1.186,0.0,0.5,0.05
1770257918.69,1.009,0.34,1.19,0.0,0.5,0.048
1770257918.99,0.74,1.573,0.772,1.0,0.5,0.046
1770257919.19,0.763,2.023,0.864,1.0,0.5,0.046
1770257919.39,0.705,1.88,0.962,0.438,0.5,0.045
1770257919.69,0.838,5.48,0.961,0.191,0.5,0.046
1770257919.89,0.775,2.096,0.659,0.0,0.5,0.045
1770257920.09,0.98,0.145,0.616,0.0,0.5,0.045
1770257920.29,0.895,1.045,0.769,0.0,0.5,0.044
1770257920.49,0.917,2.2,0.731,0.0,0.5,0.043
1770257920.79,0.924,0.964,0.756,0.22,0.5,0.044
1770257920.99,0.817,0.881,0.783,0.846,0.5,0.045
1770257921.19,0.96,1.896,0.829,0.0,0.5,0.047
1770257921.39,1.049,0.268,0.971,0.0,0.5,0.046
1770257921.59,0.876,0.377,1.052,1.0,0.5,0.048
1770257921.89,0.833,0.356,1.103,0.644,0.5,0.052
1770257922.19,1.065,0.235,1.211,0.0,0.5,0.051
1770257922.49,1.008,0.352,1.215,0.0,0.5,0.051
1770257922.79,0.964,0.383,1.259,0.459,0.5,0.049
1770257923.01,0.977,0.316,1.284,0.891,0.5,0.048
1770257923.29,0.993,0.335,1.264,0.721,0.5,0.05
1770257923.49,0.945,0.243,1.278,1.0,0.5,0.051
1770257923.79,0.91,0.58,1.291,1.0,0.5,0.052
1770257923.99,0.961,0.042,1.278,0.826,0.5,0.053
1770257924.19,0.955,0.196,1.269,0.862,0.5,0.054
1770257924.4,0.915,0.135,1.264,0.649,0.5,0.054
1770257924.69,0.954,0.482,1.288,0.389,0.5,0.054
1770257924.89,0.956,0.169,1.26,0.0,0.5,0.054
1770257925.19,0.981,0.408,1.251,0.0,0.5,0.053
1770257925.49,0.967,0.057,1.279,0.0,0.5,0.053
1770257925.79,0.927,0.612,1.284,0.701,0.5,0.052
1770257926.09,0.976,0.188,1.296,0.0,0.5,0.052
1770257926.29,0.944,0.341,1.301,0.782,0.5,0.053
1770257926.59,0.887,0.629,1.294,1.0,0.5,0.053
1770257926.79,0.832,0.2,1.297,1.0,0.5,0.052
1770257926.99,0.698,0.284,1.301,0.844,0.5,0.055
1770257927.19,0.848,0.65,1.288,0.248,0.5,0.056
1770257927.49,0.96,3.442,1.311,0.0,0.5,0.057
1770257927.69,0.957,0.813,1.308,0.027,0.5,0.058
1770257927.99,0.993,0.445,1.302,0.0,0.5,0.057
1770257928.19,0.919,0.888,1.333,0.12,0.5,0.057
1770257928.39,0.974,1.161,1.327,0.179,0.5,0.058
1770257928.69,0.946,1.008,1.333,0.688,0.5,0.058
1770257928.89,0.987,1.575,1.3,0.314,0.5,0.057
1770257929.19,0.945,1.221,1.308,0.844,0.5,0.057
1770257929.39,0.874,1.163,1.337,1.0,0.5,0.057
1770257929.69,0.686,0.404,1.368,0.758,0.5,0.06
1770257929.9,0.694,0.197,1.328,0.645,0.5,0.062
1770257930.2,0.887,0.841,1.349,0.0,0.5,0.062
1770257930.49,0.861,0.138,1.351,0.0,0.5,0.059
1770257930.69,0.468,0.241,1.337,1.0,0.5,0.058
1770257930.99,0.618,0.241,1.34,0.786,0.5,0.058
1770257931.29,0.693,0.847,1.319,0.728,0.5,0.061
1770257931.59,0.653,0.434,1.319,0.0,0.5,0.065
1770257931.82,0.904,0.463,1.326,0.0,0.5,0.064
1770257932.09,0.93,0.694,1.302,0.0,0.5,0.061
1770257932.29,0.947,0.499,1.326,0.0,0.5,0.059
1770257932.49,0.9,0.572,1.335,0.195,0.5,0.057
1770257932.8,0.921,0.643,1.355,0.751,0.5,0.055
1770257933.11,0.813,0.367,1.384,0.543,0.5,0.057
1770257933.39,0.908,0.542,1.329,0.0,0.5,0.058
1770257933.6,0.796,0.295,1.356,0.61,0.5,0.058
1770257933.89,0.893,0.253,1.325,0.202,0.5,0.058
1770257934.1,0.866,0.089,1.344,0.429,0.5,0.058
1770257934.4,0.936,0.221,1.341,0.127,0.5,0.059
1770257934.71,0.909,0.573,1.333,0.0,0.5,0.059
1770257935.0,0.854,0.198,1.323,0.051,0.5,0.059
1770257935.29,0.944,0.317,1.313,0.0,0.5,0.06
1770257935.49,0.887,0.164,1.338,0.988,0.5,0.059
1770257935.7,0.891,0.035,1.321,0.689,0.5,0.059
1770257935.99,0.936,0.572,1.317,0.0,0.5,0.059
1770257936.19,0.884,0.155,1.322,0.278,0.5,0.059
1770257936.49,0.89,0.328,1.327,1.0,0.5,0.059
1770257936.69,0.912,0.102,1.311,0.0,0.5,0.059
1770257936.99,0.884,0.795,1.327,0.791,0.5,0.057
1770257937.19,0.83,0.758,1.315,1.0,0.5,0.058
1770257937.4,0.848,0.251,1.316,0.485,0.5,0.058
1770257937.69,0.848,0.484,1.331,0.268,0.5,0.059
1770257937.9,0.835,0.826,1.315,0.446,0.5,0.06
1770257938.2,0.893,0.232,1.289,0.017,0.5,0.061
1770257938.49,0.841,0.61,1.278,0.12,0.5,0.06
1770257938.79,0.908,0.586,1.297,0.0,0.5,0.06
1770257939.09,0.914,0.549,1.292,0.39,0.5,0.059
1770257939.29,0.902,0.335,1.282,0.423,0.5,0.06
1770257939.5,0.858,0.54,1.288,0.771,0.5,0.059
1770257939.79,0.861,1.062,1.317,0.821,0.5,0.059
1770257939.99,0.894,0.984,1.325,0.0,0.5,0.058
1770257940.2,0.914,0.765,1.299,0.361,0.5,0.057
1770257940.4,0.937,0.259,1.312,0.261,0.5,0.057
1770257940.69,0.873,0.723,1.283,0.635,0.5,0.056
1770257940.9,0.865,0.491,1.296,0.956,0.5,0.056
1770257941.1,0.929,0.192,1.276,0.217,0.5,0.056
1770257941.39,0.925,0.839,1.278,0.132,0.5,0.056
1770257941.62,0.904,0.546,1.298,0.631,0.5,0.056
1770257941.89,0.928,0.648,1.257,0.55,0.5,0.056
1770257942.09,0.876,0.694,1.273,0.849,0.5,0.056
